id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;nombres;apellidos;sexo;especialidad;id_clinica
91;19;20;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;14
91;19;20;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;18
92;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;4
92;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;7
92;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;12
92;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;14
92;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;18
93;19;48;10;José Miguel;Carrizo Nuñez;MASCULINO;Endocrinología;4
93;19;48;10;José Miguel;Carrizo Nuñez;MASCULINO;Endocrinología;7
93;19;48;10;José Miguel;Carrizo Nuñez;MASCULINO;Endocrinología;12
93;19;48;10;José Miguel;Carrizo Nuñez;MASCULINO;Endocrinología;14
93;19;48;10;José Miguel;Carrizo Nuñez;MASCULINO;Endocrinología;18
94;19;10;2;José Miguel;Carrizo Nuñez;MASCULINO;Urgencias veterinarias;4
94;19;10;2;José Miguel;Carrizo Nuñez;MASCULINO;Urgencias veterinarias;7
94;19;10;2;José Miguel;Carrizo Nuñez;MASCULINO;Urgencias veterinarias;12
94;19;10;2;José Miguel;Carrizo Nuñez;MASCULINO;Urgencias veterinarias;14
94;19;10;2;José Miguel;Carrizo Nuñez;MASCULINO;Urgencias veterinarias;18
95;20;65;13;Bárbara Carolina;Casagran Marchánt;FEMENINO;Geriatría;15
96;20;23;5;Bárbara Carolina;Casagran Marchánt;FEMENINO;Fisioterapia;15
97;20;12;3;Bárbara Carolina;Casagran Marchánt;FEMENINO;Cirugía;15
98;20;43;9;Bárbara Carolina;Casagran Marchánt;FEMENINO;Nutrición animal;15
99;20;16;4;Bárbara Carolina;Casagran Marchánt;FEMENINO;Dermatología;15
100;20;30;6;Bárbara Carolina;Casagran Marchánt;FEMENINO;Oftalmología;15
101;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;4
101;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;8
101;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;10
101;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;18
102;21;40;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;4
102;21;40;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;8
102;21;40;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;10
102;21;40;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;18
103;21;2;1;Ricardo Alejandro;Castillo Pablos;MASCULINO;Medicina interna;4
103;21;2;1;Ricardo Alejandro;Castillo Pablos;MASCULINO;Medicina interna;8
103;21;2;1;Ricardo Alejandro;Castillo Pablos;MASCULINO;Medicina interna;10
103;21;2;1;Ricardo Alejandro;Castillo Pablos;MASCULINO;Medicina interna;18
104;21;37;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;4
104;21;37;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;8
104;21;37;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;10
104;21;37;8;Ricardo Alejandro;Castillo Pablos;MASCULINO;Radiología;18
105;21;62;13;Ricardo Alejandro;Castillo Pablos;MASCULINO;Geriatría;4
105;21;62;13;Ricardo Alejandro;Castillo Pablos;MASCULINO;Geriatría;8
105;21;62;13;Ricardo Alejandro;Castillo Pablos;MASCULINO;Geriatría;10
105;21;62;13;Ricardo Alejandro;Castillo Pablos;MASCULINO;Geriatría;18
106;21;30;6;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oftalmología;4
106;21;30;6;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oftalmología;8
106;21;30;6;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oftalmología;10
106;21;30;6;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oftalmología;18
107;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;4
107;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;8
107;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;10
107;21;32;7;Ricardo Alejandro;Castillo Pablos;MASCULINO;Oncología;18
108;21;7;2;Ricardo Alejandro;Castillo Pablos;MASCULINO;Urgencias veterinarias;4
108;21;7;2;Ricardo Alejandro;Castillo Pablos;MASCULINO;Urgencias veterinarias;8
108;21;7;2;Ricardo Alejandro;Castillo Pablos;MASCULINO;Urgencias veterinarias;10
108;21;7;2;Ricardo Alejandro;Castillo Pablos;MASCULINO;Urgencias veterinarias;18
109;21;16;4;Ricardo Alejandro;Castillo Pablos;MASCULINO;Dermatología;4
109;21;16;4;Ricardo Alejandro;Castillo Pablos;MASCULINO;Dermatología;8
109;21;16;4;Ricardo Alejandro;Castillo Pablos;MASCULINO;Dermatología;10
109;21;16;4;Ricardo Alejandro;Castillo Pablos;MASCULINO;Dermatología;18
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;1
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;2
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;7
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;11
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;11
110;22;60;12;Claudia Andrea;Castillo Yusta;FEMENINO;Gastroenterología;16
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;1
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;2
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;7
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;11
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;11
111;22;68;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;16
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;1
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;2
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;7
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;11
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;11
112;22;48;10;Claudia Andrea;Castillo Yusta;FEMENINO;Endocrinología;16
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;1
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;2
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;7
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;11
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;11
113;22;66;14;Claudia Andrea;Castillo Yusta;FEMENINO;Nutrición natural;16
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;1
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;2
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;7
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;11
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;11
114;22;38;8;Claudia Andrea;Castillo Yusta;FEMENINO;Radiología;16
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;1
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;2
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;7
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;11
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;11
115;22;3;1;Claudia Andrea;Castillo Yusta;FEMENINO;Medicina interna;16
116;23;33;7;Cristian Emilio;Catalán Arias;MASCULINO;Oncología;3
116;23;33;7;Cristian Emilio;Catalán Arias;MASCULINO;Oncología;13
117;23;16;4;Cristian Emilio;Catalán Arias;MASCULINO;Dermatología;3
117;23;16;4;Cristian Emilio;Catalán Arias;MASCULINO;Dermatología;13
118;23;46;10;Cristian Emilio;Catalán Arias;MASCULINO;Endocrinología;3
118;23;46;10;Cristian Emilio;Catalán Arias;MASCULINO;Endocrinología;13
119;23;2;1;Cristian Emilio;Catalán Arias;MASCULINO;Medicina interna;3
119;23;2;1;Cristian Emilio;Catalán Arias;MASCULINO;Medicina interna;13
120;23;55;11;Cristian Emilio;Catalán Arias;MASCULINO;Etología;3
120;23;55;11;Cristian Emilio;Catalán Arias;MASCULINO;Etología;13
121;24;3;1;William Adrian;Césped Muñoz;MASCULINO;Medicina interna;15
121;24;3;1;William Adrian;Césped Muñoz;MASCULINO;Medicina interna;19
122;24;58;12;William Adrian;Césped Muñoz;MASCULINO;Gastroenterología;15
122;24;58;12;William Adrian;Césped Muñoz;MASCULINO;Gastroenterología;19
123;24;52;11;William Adrian;Césped Muñoz;MASCULINO;Etología;15
123;24;52;11;William Adrian;Césped Muñoz;MASCULINO;Etología;19
124;24;70;14;William Adrian;Césped Muñoz;MASCULINO;Nutrición natural;15
124;24;70;14;William Adrian;Césped Muñoz;MASCULINO;Nutrición natural;19
125;24;70;14;William Adrian;Césped Muñoz;MASCULINO;Nutrición natural;15
125;24;70;14;William Adrian;Césped Muñoz;MASCULINO;Nutrición natural;19
126;24;34;7;William Adrian;Césped Muñoz;MASCULINO;Oncología;15
126;24;34;7;William Adrian;Césped Muñoz;MASCULINO;Oncología;19
127;24;23;5;William Adrian;Césped Muñoz;MASCULINO;Fisioterapia;15
127;24;23;5;William Adrian;Césped Muñoz;MASCULINO;Fisioterapia;19
128;24;56;12;William Adrian;Césped Muñoz;MASCULINO;Gastroenterología;15
128;24;56;12;William Adrian;Césped Muñoz;MASCULINO;Gastroenterología;19
129;24;21;5;William Adrian;Césped Muñoz;MASCULINO;Fisioterapia;15
129;24;21;5;William Adrian;Césped Muñoz;MASCULINO;Fisioterapia;19
130;25;69;14;Exequiel Fernando;Collao López;MASCULINO;Nutrición natural;5
130;25;69;14;Exequiel Fernando;Collao López;MASCULINO;Nutrición natural;10
131;25;33;7;Exequiel Fernando;Collao López;MASCULINO;Oncología;5
131;25;33;7;Exequiel Fernando;Collao López;MASCULINO;Oncología;10
132;25;5;1;Exequiel Fernando;Collao López;MASCULINO;Medicina interna;5
132;25;5;1;Exequiel Fernando;Collao López;MASCULINO;Medicina interna;10
133;25;34;7;Exequiel Fernando;Collao López;MASCULINO;Oncología;5
133;25;34;7;Exequiel Fernando;Collao López;MASCULINO;Oncología;10
134;25;61;13;Exequiel Fernando;Collao López;MASCULINO;Geriatría;5
134;25;61;13;Exequiel Fernando;Collao López;MASCULINO;Geriatría;10
135;26;48;10;Miguel Mario;Contreras Lusardi;MASCULINO;Endocrinología;6
136;26;31;7;Miguel Mario;Contreras Lusardi;MASCULINO;Oncología;6
137;26;40;8;Miguel Mario;Contreras Lusardi;MASCULINO;Radiología;6
138;26;57;12;Miguel Mario;Contreras Lusardi;MASCULINO;Gastroenterología;6
139;26;19;4;Miguel Mario;Contreras Lusardi;MASCULINO;Dermatología;6
140;26;1;1;Miguel Mario;Contreras Lusardi;MASCULINO;Medicina interna;6
141;26;15;3;Miguel Mario;Contreras Lusardi;MASCULINO;Cirugía;6
142;26;26;6;Miguel Mario;Contreras Lusardi;MASCULINO;Oftalmología;6
143;26;69;14;Miguel Mario;Contreras Lusardi;MASCULINO;Nutrición natural;6
144;27;65;13;Pablo José;Cortés López;MASCULINO;Geriatría;3
144;27;65;13;Pablo José;Cortés López;MASCULINO;Geriatría;13
145;27;58;12;Pablo José;Cortés López;MASCULINO;Gastroenterología;3
145;27;58;12;Pablo José;Cortés López;MASCULINO;Gastroenterología;13
146;27;25;5;Pablo José;Cortés López;MASCULINO;Fisioterapia;3
146;27;25;5;Pablo José;Cortés López;MASCULINO;Fisioterapia;13
147;27;51;11;Pablo José;Cortés López;MASCULINO;Etología;3
147;27;51;11;Pablo José;Cortés López;MASCULINO;Etología;13
148;28;16;4;Macarena Cecilia;Cortéz Jara;FEMENINO;Dermatología;2
148;28;16;4;Macarena Cecilia;Cortéz Jara;FEMENINO;Dermatología;17
149;28;19;4;Macarena Cecilia;Cortéz Jara;FEMENINO;Dermatología;2
149;28;19;4;Macarena Cecilia;Cortéz Jara;FEMENINO;Dermatología;17
150;28;36;8;Macarena Cecilia;Cortéz Jara;FEMENINO;Radiología;2
150;28;36;8;Macarena Cecilia;Cortéz Jara;FEMENINO;Radiología;17
151;28;13;3;Macarena Cecilia;Cortéz Jara;FEMENINO;Cirugía;2
151;28;13;3;Macarena Cecilia;Cortéz Jara;FEMENINO;Cirugía;17
152;28;57;12;Macarena Cecilia;Cortéz Jara;FEMENINO;Gastroenterología;2
152;28;57;12;Macarena Cecilia;Cortéz Jara;FEMENINO;Gastroenterología;17
153;29;47;10;Nicolás Ignacio;Cozzolino Puelma;MASCULINO;Endocrinología;1
154;29;59;12;Nicolás Ignacio;Cozzolino Puelma;MASCULINO;Gastroenterología;1
155;30;42;9;José Leonardo;Cuevas Pavéz;MASCULINO;Nutrición animal;1
156;31;17;4;Rodrigo;Contreras Diaz;MASCULINO;Dermatología;6
156;31;17;4;Rodrigo;Contreras Diaz;MASCULINO;Dermatología;7
156;31;17;4;Rodrigo;Contreras Diaz;MASCULINO;Dermatología;9
157;31;41;9;Rodrigo;Contreras Diaz;MASCULINO;Nutrición animal;6
157;31;41;9;Rodrigo;Contreras Diaz;MASCULINO;Nutrición animal;7
157;31;41;9;Rodrigo;Contreras Diaz;MASCULINO;Nutrición animal;9
158;31;53;11;Rodrigo;Contreras Diaz;MASCULINO;Etología;6
158;31;53;11;Rodrigo;Contreras Diaz;MASCULINO;Etología;7
158;31;53;11;Rodrigo;Contreras Diaz;MASCULINO;Etología;9
159;32;9;2;Daniela Fernanda;De La Barra González;FEMENINO;Urgencias veterinarias;14
160;32;45;9;Daniela Fernanda;De La Barra González;FEMENINO;Nutrición animal;14
161;33;52;11;Raúl Marcelo;De La Fuente García;MASCULINO;Etología;16
